text,intent
I want to check if my claim is approved.,claim_status
i want to file a claim again,file_claim
I need to update my sound designation turn .,update_contact
Can I change my contact information ?,update_contact
Recover my insurance details please,forgot_policy_number
Can I change my contact info ?,update_contact
Was my payment successful? Condition our adult.,payment_status
I want to speak to an agent .,agent_contact
I hope to go over if my call live sanction .,claim_status
Was my payment successful ?,payment_status
Reactivate onetime policy,reinstatement_query
look into if my requital run through .,payment_status
what is my current policy ?,policy_status
How do I submit a claim ? one thousand thousand truth prevent onto apply pattern .,file_claim
can you help me with the replacement insurance policy ?,renew_policy
how do i submit my claim ?,file_claim
Connect me to a customer voice .,agent_contact
how can i submit claims ?,file_claim
when is my premium referable ?,premium_due
have got my insurance title been processed ?,claim_status
I necessitate to update my phone number .,update_contact
How do I renew my policy ?,renew_policy
I want to give this policy to the son,policy_transfer
how can i renew my indemnity insurance policy ?,renew_policy
Missed payment window motion,grace_period_query
How do I renew my policy ? Movement their smile quantity .,renew_policy
can i change my contact information?,update_contact
Has my indemnity claim comprise processed ?,claim_status
End my insurance plan early,surrender_policy
When be my premium referable ?,premium_due
can you help me with my renewal of my policy ?,renew_policy
tell me the status of a insurance policy ?,policy_status
I want to check if my claim is approved .,claim_status
Update my residential destination .,update_address
correspond if my payment went through . Response evening artist infant .,payment_status
i want to know when my insurance premium will be due,premium_due
tell me the status of your policy?,policy_status
time of day angle my indemnity title be processed ?,claim_status
Please help me modify the nominee name,update_nominee
can i change my contact info ?,update_contact
can you facilitate me with my policy replacement ?,renew_policy
1 need a digital transcript of my insurance insurance policy,download_policy
"I moved latterly , need to update address . Executive wish cause persona .",update_address
Switch premium payment to credit card,change_payment_method
experience my insurance title been march ?,claim_status
Fix wrong bit in records please,change_mobile_number
can you help oneself me with insurance policy renewal ?,renew_policy
help oneself me cross-file an insurance claim .,file_claim
What is the status of my policy ? Could probable try follow .,policy_status
can i change my contact info to a new one ?,update_contact
Let me spill the beans to an insurance agent .,agent_contact
When represent my premium ascribable ?,premium_due
"I ’ m unhappy with the service , where can I complain ?",register_complaint
how can i change my address?,update_address
commit me a transcript of my policy .,download_policy
How do I submit a claim?,file_claim
Update my residential address .,update_address
one want to speak to an agent,agent_contact
Confirm payment for last-place agio . Agent until tilt defense .,payment_status
I require to file a fresh claim .,file_claim
how can i change my address ?,update_address
How can I change my address ? Scene Republican staff sit market company .,update_address
what 's the condition of my insurance ?,policy_status
Check if my payment went through . Prevent next into conference chair police .,payment_status
I want to know the due date for my premium. Director fact choose economic.,premium_due
Can you help me with insurance policy renewal ? routine minute develop .,renew_policy
Please update my contact contingent . Law risk right .,update_contact
I want to check if my call exist approved .,claim_status
be my payment successful ?,payment_status
Check if the documents were sent,policy_document_status
can i change contact details ?,update_contact
Change the way I pay the payment,change_payment_method
I require to reincarnate my insurance architectural plan . Budget accept power five each .,renew_policy
Was my defrayal successful ?,payment_status
i desire to know when my bounty is referable,premium_due
Send me a copy of my policy.,download_policy
I need to update my speech sound telephone number .,update_contact
Tell me my next premium date .,premium_due
"I ’ m unhappy with the religious service , where can I complain ? delight",register_complaint
How do I render a claim ? Beat foliate our .,file_claim
Edit inter-group communication number please,change_mobile_number
Was my payment successful? Get bit sing pressure administration.,payment_status
Change the room I yield my premium,change_payment_method
i have to update my phone bit,update_contact
how can i renew my insurance policy?,renew_policy
have got my indemnity claim comprise litigate ?,claim_status
i require aid register my insurance claim,file_claim
How can I change my reference ?,update_address
how do i file my claim ?,file_claim
how do i change my address?,update_address
I want to read a complaint,register_complaint
What constitute the status of my policy ? movement miss project growth .,policy_status
how do you submit a claim ?,file_claim
check if my payment embody successful,payment_status
Help me see a local insurance post,branch_locator
how soon cost premiums imputable ?,premium_due
Connect me to a customer representative. Born lead hear baby.,agent_contact
How can I modify my savoir-faire ?,update_address
I need to update the nominee on filing cabinet,update_nominee
how do you file a call ?,file_claim
I want to file a newfangled claim .,file_claim
Can you tell me if my insurance is fighting ?,policy_status
tell me the process of submitting a claim ?,file_claim
Policy surrender procedure,surrender_policy
Tell me my next premium date.,premium_due
I need my tax certification,tax_certificate
"I incite recently , take to update name and address .",update_address
distinguish me the next escort for the premium,premium_due
I need a digital copy of my insurance . Range exactly fly take the air Mr laugh .,download_policy
Can you facilitate me with policy replacement ? Capital leader culture thousand direction better .,renew_policy
Can I remove this policy ?,policy_transfer
Can you help me with policy renewal ?,renew_policy
What 's the status of my claim ? Military continue arm aerofoil ten control condition .,claim_status
How can I download my policy written document ?,download_policy
Update my payment preference please,change_payment_method
Can you help me with insurance policy renewal ?,renew_policy
I need to register a complaint,register_complaint
Has my insurance claim been processed ?,claim_status
Tell me about the features of my insurance policy design please,policy_benefits
Tell me my succeeding agiotage date .,premium_due
i need a digital copy of my insurance policy,download_policy
tell me the status of your insurance policy?,policy_status
What 's the condition of my claim ?,claim_status
i need to know the current status of my indemnity,policy_status
what does it charter to submit a claim ?,file_claim
What does this policy cover?,policy_benefits
Was my defrayment successful ? Get bit sing pressure sensation administration .,payment_status
I want to use UPI for future payments,change_payment_method
i would like to know what 's the condition of my insurance insurance policy,policy_status
I desire to bang the due particular date for my premium .,premium_due
how can i submit a claim?,file_claim
i've moved recently i need to update my address,update_address
Can you tell me if my policy personify fighting ?,policy_status
What embody the condition of my policy ? Record international their .,policy_status
Please update my contact details. Pattern much say through.,update_contact
how do i download a insurance policy document ?,download_policy
Can you help me with insurance renewal ?,renew_policy
atomic number 53 desire to make a young call,file_claim
tell me the status of your claim?,claim_status
please help me file insurance claim,file_claim
"I proceed recently , necessitate to update destination .",update_address
check if my payment goes through,payment_status
i would like to know the current position of my insurance insurance,policy_status
what is my claim? how can i change my claim?,claim_status
How can I download my policy document ?,download_policy
"I moved recently , need to update address .",update_address
I need to renew my insurance plan. Building compare sit.,renew_policy
What 's the last day to pay ?,grace_period_query
secernate me the status of a title ?,claim_status
I want to know the current status of my insurance policy.,policy_status
delight contact the customer service representative,agent_contact
have my policy claims been processed ?,claim_status
I need to file a fresh title .,file_claim
facilitate me register an insurance form of address .,file_claim
delight assist me register a claim,file_claim
I want to speak to an agentive role .,agent_contact
What 's the condition of my call ? motion picture eye require center .,claim_status
what is my claim status?,claim_status
confirm the payment of the last premium,payment_status
Send me a written matter of my policy .,download_policy
i require to know when my premium will be due,premium_due
how do i bow a claim ?,file_claim
iodin moved recently 1 demand to update my name and address,update_address
assistance me file an restitution call .,file_claim
Fix unseasonable number in records,change_mobile_number
i need to update my issue,update_contact
Can you tell me if my policy is active? Town hope compare member respond.,policy_status
can you help me with renewal of a policy?,renew_policy
Switch to another email ID,change_email
can you tell me if my policy is active?,policy_status
I need to update my phone number. Statement born out.,update_contact
i have to renew my insurance coverage,renew_policy
cost my payment successful ?,payment_status
Help me cross-file an insurance claim .,file_claim
i want to talk with an agent,agent_contact
I want to check if my claim cost O.K. .,claim_status
unity want to check if my claims have been approved,claim_status
Recover my insurance details,forgot_policy_number
i need a copy of my insurance policy,download_policy
Please update my contact contingent .,update_contact
i want to verbalise to an agent,agent_contact
I need to update my phone identification number .,update_contact
"I’m unhappy with the service, where can I complain?",register_complaint
I need to renew my insurance program .,renew_policy
Can I switch my liaison information ? full year strong-arm yet urban center .,update_contact
Tell me my following exchange premium date .,premium_due
narrate me my next premium escort .,premium_due
Can I shift my contact info ?,update_contact
Confirm defrayal for last premium .,payment_status
Connect me to a client representative . Not similar data point discus .,agent_contact
hour angle my insurance claim been processed ?,claim_status
what should you do if you necessitate to submit a claim ?,file_claim
I need to know the current position of my insurance policy .,policy_status
i want to talk to a representative,agent_contact
update my home address,update_address
help me file insurance call,file_claim
I ask to renew my insurance design .,renew_policy
I want to jazz the current status of my insurance insurance policy .,policy_status
help me subject a call,file_claim
can you help me file an insurance claim ?,file_claim
Has my insurance title been processed ? Budget radio find get-up-and-go .,claim_status
How many years is this plan valid for? please,policy_term_details
i want to know the position of my insurance policy,policy_status
can you help me with renewal of my insurance ?,renew_policy
How do I submit a call ?,file_claim
i moved recently and need to update my address,update_address
How act I charge a grievance ?,register_complaint
How can I change my address ?,update_address
what should i do to make a claim?,file_claim
Can you help me with insurance renewal ? Figure reveal by particular standard .,renew_policy
Update my email address,change_email
What 's the condition of my title ? Reduce concord participant term chance .,claim_status
have my insurance claims been processed?,claim_status
i require to talk to an agent,agent_contact
i want to check whether my claim is approved,claim_status
check if my payment pass away through,payment_status
Confirm payment for net premium . Best problem almost throughout .,payment_status
Check if my requital cash in one's chips through .,payment_status
link me to a customer representative . Growth north seat which road .,agent_contact
usance camber auto deduction for policy,auto_debit_setup
can you help me with renewing my policy?,renew_policy
Document delivery status,policy_document_status
How to shift possession of insurance ?,policy_transfer
i want to file another claim,file_claim
exercise I have a grace period ?,grace_period_query
1 postulate to update my phone number,update_contact
How can I change my computer address ?,update_address
Tell me how to exit from this insurance architectural plan,surrender_policy
single want to know the current status of my insurance policy,policy_status
I need to update my telephone set identification number . instruction born out .,update_contact
When is my premium imputable ?,premium_due
I need to update my phone number .,update_contact
rent me talk to an insurance federal agent .,agent_contact
How suffice I submit a claim ?,file_claim
How cause I submit a call ?,file_claim
i 'd care to know the current status of my insurance policy,policy_status
Reactivate old insurance plan,reinstatement_query
Confirm defrayment for last agiotage .,payment_status
I want to hump the current position of my policy policy . Drug entail of .,policy_status
i want to know the day of the month for the payment of my premium,premium_due
i have to update my phone number,update_contact
Connect me to a customer representative .,agent_contact
Let me talk to an insurance agent .,agent_contact
Tell me about the characteristic of the insurance plan,policy_benefits
Connect me to a client interpreter .,agent_contact
I necessitate to stop the insurance architectural plan before due date,surrender_policy
I want to auto pay my insurance,auto_debit_setup
Get insurance plan number by phone,forgot_policy_number
Please update my contact details .,update_contact
was my defrayal successful ? our sign is unattackable,payment_status
Confirm payment for net premium .,payment_status
i want to know the date for payment of my premium,premium_due
what should i do to change my destination ?,update_address
How can I change my address ? Trial vista point hubby .,update_address
what are ways of posit a title ?,file_claim
I need a digital copy of my insurance.,download_policy
How do I present a claim ?,file_claim
Bring rearward the insurance design I missed please,reinstatement_query
recite me my next premium date .,premium_due
can i change my contact info?,update_contact
Please help me modify the nominee epithet,update_nominee
Policy surrender procedure please,surrender_policy
how coif i download a policy document ?,download_policy
"I moved recently , take to update address . command among acculturation .",update_address
mail me a transcript of my policy .,download_policy
Please update my contact contingent . Law risk rightfulness .,update_contact
Can I alter my link information ? Civil check population Song dynasty real anyone .,update_contact
What 's the status of my claim ? Skin owner after newspaper bed building put .,claim_status
how can i reincarnate my insurance insurance ?,renew_policy
Tell me about the features of my policy,policy_benefits
Change my address,change_address
I want tax benefit proof,tax_certificate
I necessitate to regenerate my policy plan . hold draw whom feel choose .,renew_policy
How can I change my address?,update_address
How do I bow a claim ?,file_claim
avail me register an insurance call .,file_claim
hour angle my insurance claim personify processed ?,claim_status
Send me a copy of my policy .,download_policy
tell me if a policy is active?,policy_status
What 's the status of my title ?,claim_status
help me register a claim,file_claim
Can you help me with policy renewal?,renew_policy
Help me retrieve my insurance ID,forgot_policy_number
I want to know the current position of my indemnity insurance .,policy_status
I'd like to change the payment method please,change_payment_method
HA my insurance claim cost work on ?,claim_status
Confirm payment for last premium. Answer common represent the sister.,payment_status
When is my premium due ?,premium_due
Was my defrayment successful ?,payment_status
countenance me talk to an insurance agent .,agent_contact
I need to close the insurance plan,cancel_policy
I forgot my policy number,forgot_policy_number
How can I find my insurance number ?,forgot_policy_number
can you avail me with renewal ?,renew_policy
Bring back the insurance plan I missed please,reinstatement_query
Can you tell me if my policy is active ?,policy_status
Can I change my touch information ?,update_contact
Let me talk to an insurance policy factor .,agent_contact
can i vary my physical contact information ?,update_contact
Can I change my contact info ? First environment approach another .,update_contact
ship me a copy of my insurance .,download_policy
I want to speak to an agent. Cut remain view method somebody.,agent_contact
when my premium is ascribable ?,premium_due
can you help me with renewal policy ?,renew_policy
Confirm defrayal for last-place premium .,payment_status
secern me if the insurance policy is still active ?,policy_status
Confirm payment for concluding premium .,payment_status
How can I download my policy document ? rather move behind least .,download_policy
can you help me with a renewal of insurance policy ?,renew_policy
